Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1375235936334807045,2021-03-25 23:59:32,0,464,92,Now Or Never: Litecoin Plummets To Bottom Of Top Ten Crypto Assets https://t.co/yUFWeKyRwb
1375235337895698432,2021-03-25 23:57:09,0,213,699,@CoinPaymentsNET All I can tell you is #Litecoin is the new silver
1375234805286195201,2021-03-25 23:55:02,0,1486,2670,"Litecoin LTC Current Price:
$172.95
1 Hour: -1.36% | 24 Hours: -3.18% | 7 Days: -14.03%
#ltc #litecoin"
1375234420425293832,2021-03-25 23:53:31,0,31,1,Start earning Litecoin now! I received my payment: 0.0001 LTC - Transaction Receipt (TXID): 32b01e022dd38b5498dae3e33a7589ea03b322e707c3b029dea0f5478cc426e8  Visit: https://t.co/LpDTqrDc5A
1375234292196982791,2021-03-25 23:53:00,0,33,786,Coinbase the future of litecoin – https://t.co/ZawkJ22FOc
1375234102639656961,2021-03-25 23:52:15,0,4,5992,"💰96,503 #LTC (16,932,512 USD) move from multiple addresses to unknown wallet
 
Date : 2021-03-25 23:48:25 (GMT 0)
Blockchain : #LITECOIN
Symbol : #LTC
 
Detail: https://t.co/kYQax1Q6OS"
1375232958257360898,2021-03-25 23:47:42,0,3446,1540,"Litecoin, Dash, Bitcoin Cash It's All Gonna Crash? https://t.co/oaeLUN0pMJ via @YouTube"
1375232649069924354,2021-03-25 23:46:28,5,3189,14532,"Litecoin
        🤓
          |\
         / \
━━━━━┓ ＼＼
┓┓┓┓┓┃
┓┓┓┓┓┃ ヽ🙀ノ
┓┓┓┓┓┃ 　 /      Fiat
┓┓┓┓┓┃  ノ)       Currency
┓┓┓┓┓┃"
1375232443700109321,2021-03-25 23:45:39,0,71,123,"@Rob_Dupree_ @MASTERBTCLTC oh, man that would SUCK!!!"
1375232330495823882,2021-03-25 23:45:12,0,73,82,"Come hang out to talk about #Cryptocurrency and ask any questions you might have!!

https://t.co/rtyj5h7Rkq

#bitcoin #litecoin #dogecoin #ethereum $doge $ltc $btc $eth"
1375231299598827523,2021-03-25 23:41:07,1,139,0,Don't send your #Bitcoin or #Litecoin to @IgnitionCasino ever it's a scam and a half and is just to get you to give up your #Crypto with extra steps. #FakeCasino
1375231141423157250,2021-03-25 23:40:29,15035,3189,14532,Don’t defy DeFi
1375231086276575236,2021-03-25 23:40:16,0,48,2616,This 96-Year-Old Russian Futurist Painting Now Comes With Its Own NFT https://t.co/qFKA05Pled https://t.co/tMVwt1eerW #litecoin #btc #invest #binary #investing https://t.co/Nw6q3wYcAe
1375231028965543938,2021-03-25 23:40:02,0,486,234,"@davidgokhshtein DOGECOIN
COSMOS
LITECOIN
THOR
VENUS"
1375230791035322375,2021-03-25 23:39:05,0,4,5992,"💰96,745 #LTC (16,975,028 USD) move from unknown wallet to unknown wallet
 
Date : 2021-03-25 23:37:56 (GMT 0)
Blockchain : #LITECOIN
Symbol : #LTC
 
Detail: https://t.co/gM3DAFGSAU"
1375230076460097541,2021-03-25 23:36:15,0,24,5,"@fintechfrank I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229991089225730,2021-03-25 23:35:55,0,24,5,"@joshsawyer @PeterLBrandt I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229919035338760,2021-03-25 23:35:37,0,24,5,"@bpositive718 @PeterLBrandt I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229917315600395,2021-03-25 23:35:37,0,124,364,"Our featured article for today! Please don't forget to subscribe to our daily newsletter at https://t.co/VOCezDF1Eo to receive our daily curated #crypto and #blockchain #news.

#bitcoin #btc #ethereum #eth #ripple #xrp #cardano #ada #litecoin #ltc #eos #xlm #trx #dash #iota #xmr"
1375229804371394560,2021-03-25 23:35:10,0,24,5,"@JimmyStackem @PeterLBrandt I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229706979672066,2021-03-25 23:34:47,1,24,5,"@ArnoldVaughan6 @dotpem @oldo @anbreensh @PeterLBrandt I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229670061400065,2021-03-25 23:34:38,0,24,5,"@dotpem @oldo @anbreensh @PeterLBrandt I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229625782112258,2021-03-25 23:34:27,0,24,5,"@anbreensh @PeterLBrandt I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229516461789184,2021-03-25 23:34:01,0,24,5,"@A61741 @PeterLBrandt I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229411448983555,2021-03-25 23:33:36,0,24,5,"@PeterLBrandt I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229359628357632,2021-03-25 23:33:24,0,24,5,"@DzambhalaHODL I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229305874169860,2021-03-25 23:33:11,0,24,5,"@tyler I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229278065995776,2021-03-25 23:33:05,0,24,5,"@michael_saylor I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229248722571273,2021-03-25 23:32:58,0,24,5,"@binance @elonmusk I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229209996591107,2021-03-25 23:32:48,0,24,5,"@APompliano I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229181924151298,2021-03-25 23:32:42,0,24,5,"@DocumentingBTC I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229063808290816,2021-03-25 23:32:13,0,24,5,"@ashwsbreal @elonmusk I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375229058187923456,2021-03-25 23:32:12,54,544,1502,"- We don't believe you need a bank account to get paid. 
- We don't believe you have to pay high fees to get paid. 
- We don't believe you need to be incorporated to get paid. 
- We believe in freedom.
- We are unstoppable. 

#Litecoin #LitecoinFam"
1375228888872259584,2021-03-25 23:31:32,0,24,5,"@elonmusk I’m doing $1,000 to $1 million target in next 12 months.

Started 2 weeks ago and already at $14,000
#Bitcoin  #Coinbase #LTC #ADA #Ethereum #blockchain #ALTSEASON #BNB  #crypto #Cardano #BtcTurk #cryptotwitter #XTZ #altcoins #Litecoin #COVID19"
1375228747864010753,2021-03-25 23:30:58,0,8927,8106,Rise #Litecoin RISE! Like a Phoenix from the ashes come forth and rise! It is foretold that #LTC shall burn so brightly the sun ☀️ will leave in jealousy. (Riiiise LTC RIIIISSSEEEEE)
1375228713277661184,2021-03-25 23:30:50,0,239,207,"Bonus and raise came in today, bought myself a ton of crypto. Crossing fingers that the future is bright for Bitcoin and @litecoin"
1375227919019221001,2021-03-25 23:27:41,3,68,308,"I think🤔 this weekend  bitcoin gains will overflow cups across the planet, I believe litecoin will finally zap forward, ether will mosey on, and $VTHO will blow past 4.7 cents to .4 VET. Just something a little birdie told me."
1375227855244771334,2021-03-25 23:27:25,0,3,32,@jtactics @litecoin @elonmusk “Selling all his shares” lol
1375227037485518849,2021-03-25 23:24:10,12,57,4539,"2021 Year of the Altcoin!!!

#altcoin #vechain #dogcoin #XRP #ripple #Neo #eos #tron #lisk #tether #ignis #Litecoin #digibyte #altcoins"
1375226828856696834,2021-03-25 23:23:21,2,879,164,"🧐Here are some of the main current cryptocurrencies and Visa to compare the TPS with #Holochain #HOT ♓⚡
#Bitcoin 7 TPS
#Ethereum 15 TPS
#Litecoin 56 TPS
#XRP 50,000 TPS
#Visa 56,000 TPS
#Holochain Millions to Billions of transactions per second https://t.co/OxDe5dGTsf"
1375226497515020290,2021-03-25 23:22:02,0,56,121,"Hourly Price Alert: BTC dropped by -1.66% to $51,791.00. LTC dropped by -2.78% to $172.00. ETH dropped by -0.01% to $1,589.00. USDT rose by 0.00% to $0.00. 24hr Change. Your move! #Bitcoin #Litecoin #Ethereum #Tether"
1375225919967789056,2021-03-25 23:19:44,0,174,52,"@JRNYcrypto Algo, Grt, link, litecoin"
1375225585102848002,2021-03-25 23:18:24,0,229,483,"When retail fomo buys things they don't understand.  Grayscale #Litecoin Trust ( $LTCN ) plummets over 50% in 2 days and it still has like an 10x premium over what it's worth.  

(And it's up in during after hours...)

https://t.co/23inLF9hfy

$BTC $LTC $ETH #bitcoin #crypto"
1375224506499936261,2021-03-25 23:14:07,0,4,5992,"💰96,859 #LTC (16,995,014 USD) move from unknown wallet to unknown wallet
 
Date : 2021-03-25 23:13:30 (GMT 0)
Blockchain : #LITECOIN
Symbol : #LTC
 
Detail: https://t.co/H6bvluyT2H"
1375224348366286849,2021-03-25 23:13:29,0,0,626,Now Or Never: Litecoin Plummets To Bottom Of Top Ten Crypto Assets - NewsBTC via BTCnews for iOS https://t.co/1uEuHLUniN
1375223614820118530,2021-03-25 23:10:34,0,0,140,Are Bitcoin Miners The Most Violent People on Earth? Climate Journalist Eric Holthaus Seems to Think So - https://t.co/9rkzfCEfSx
1375223601448685569,2021-03-25 23:10:31,0,77,262,@litecoin @elonmusk @KimDotcom Litecoin is better then both of those 😂🙏🏼
1375221792822996994,2021-03-25 23:03:20,0,679,2737,@cryptosaurus3 @ArtOnBlockchain Litecoin bruh
1375221577885814795,2021-03-25 23:02:29,0,63,148,"@CryptoKaleo She is getting close on #Litecoin 

https://t.co/8Wa2nau2BS"
1375221175878524931,2021-03-25 23:00:53,0,0,3805,"Litecoin - LTC
Price: $173.05
Change in 1h: -1.1511968%
Market cap: $11,548,139,856.29
Ranking: 10
#Litecoin #LTC"
1375221077979377665,2021-03-25 23:00:30,0,91,19,Tremendous cream.  F*ck a dollar and a dream.  #litecoin #bitcoin
1375221077694103554,2021-03-25 23:00:29,0,3,448,"The current LTCBTC ratio is 0.00332761

Litecoin is an oscillator to bitcoin &amp; next peak cycle we expect the LTCBTC ratio to peak around .025

At today's bitcoin price we expect litecoin's price to be: 

$517 at .010
$776 at .015
$1035 at .020
$1294 at .025

$3235 at .0625 max"
1375221043237883904,2021-03-25 23:00:21,0,2,84,Blocks non-fungible token Satoshi fault-tolerance BIP Asmap Litecoin decentralized op return Ethereum DAG SHA-256. Cryptography op return tokenomics blocks pseudonymous digital asset decentralized. Full node sidechains BIP fault-tolerance m
1375220841332498433,2021-03-25 22:59:33,0,68,16,"“The private jet industry is currently booming,” says vice president of global operations for Skyline Group MC. Get yours with cryptocurrency at https://t.co/WtxusL9AnP

#crypto #cryptocurrency #cryptocurrencies #bitcoin #btc #ethereum #eth #litecoin #dogecoin #dogearmy #thursday https://t.co/jCO0EveG79"
1375220756645343234,2021-03-25 22:59:13,0,33,786,Coinbase litecoin vs usd – https://t.co/ZawkJ22FOc
1375220453279678467,2021-03-25 22:58:01,0,63,148,"#Litecoin is only 6.5% away from its all time weekly lows on the #LTC / BTC chart. I will be re-entering heavy here. I'd expect on a #BTC drop, Litecoin to fall a little harder. Again, I'm thinking the high 150's area is the spot. https://t.co/jbxB57nX8V"
1375220120700641282,2021-03-25 22:56:41,0,1000,257,Litecoin Miner: https://t.co/pgxv7FcYlV - Mine and Earn free Litecoin: https://t.co/mn9xCCO6tu  https://t.co/erSJovlsBL
