Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1379947089992421378,2021-04-07 23:59:59,3102,473,61,"Do Syrup Storm, Fearsome Flippers or Chaotic Cakers like Macarons @PancakeSwap? We still have some land for Cake LP farmers.

#BinanceSmartChain #BSC #BTC #ETH #Ethereum #BNB
#crypto #defi $MCRN https://t.co/s2XMqFexZs"
1379947082098765826,2021-04-07 23:59:57,1373,782,19,💯 $60 to someone who retweets this and follows @CubiexEsports - a #Binance Smart Chain based streaming platform with an upcoming NFT Marketplace - in 36 hours 💯 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM
1379947079233982464,2021-04-07 23:59:56,181,170,134,"EARN $BNB ON THE BINANCE SMART CHAIN #BSC USING #DIYSTAKE ! #BINANCE #BNB #CRYPTO #DEFI #DAPPS #DPC 

CHECK IT OUT: https://t.co/6gshbqAXRa https://t.co/Ibxx6ayMqJ"
1379947075417341959,2021-04-07 23:59:55,2874,636,21,🖤 $100 to someone who retweets this and follows @pardonmypick in 24 hours 🖤 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #sports #MLB #NHL
1379947075140345856,2021-04-07 23:59:55,2067,1869,756,💯 $50 to someone who retweets this and follows @CompBrosCrypto with 🔔 on 💯 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM
1379947065921335297,2021-04-07 23:59:53,0,1675,276,"I own a large amount of $ zSEED and am hoping that its value will continue to rise. A high expectation for a valuable coin!
#BSCXHeroes $BNB $BSCX $zSEED $TOOLS $ZD $ZDCASH. https://t.co/ANg3dLPK8Y"
1379947062410702848,2021-04-07 23:59:52,3144,2225,973,🖤 $300 to someone who retweets this and follows @POODLETOKEN in 4 days 🖤 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi $POODL #POODL #HOODLTHEPOODL
1379947061567660035,2021-04-07 23:59:52,10790,177,27,"💜 $4k reroll. just follow + retweet for chance to #win. ends in 72 hours.💜 
 #giveaway. #bitcoin #ethereum #bnb #TRX #tenset"
1379947060904951808,2021-04-07 23:59:52,3102,62,1,"Do Syrup Storm, Fearsome Flippers or Chaotic Cakers like Macarons @PancakeSwap? We still have some land for Cake LP farmers.

#BinanceSmartChain #BSC #BTC #ETH #Ethereum #BNB
#crypto #defi $MCRN https://t.co/s2XMqFexZs"
1379947051266551813,2021-04-07 23:59:49,1960,581,105,"🐸$100 to someone who retweets this and follows 
@frogefinance1 + @financefroge in 24 hours 🐸

$FROGE is the worlds first eco-token and is now being listed on WhiteBit! #sponsored

#BTC #Bitcoin #Ethereum #BNB #TRX #Ripple #XRP #SAFEMOON $HOGE"
1379947046401024001,2021-04-07 23:59:48,2067,2676,1950,💯 $50 to someone who retweets this and follows @CompBrosCrypto with 🔔 on 💯 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM
1379947044144513024,2021-04-07 23:59:48,3772,298,18,"🔥 2 Days Left Before Presale🔥

Minimum Purchase 0.1 BNB
Maximum Purchase 20 BNB

Be ready and be the early birds in our token sale 🔥 https://t.co/d3FeeRjaHX"
1379947027837034498,2021-04-07 23:59:44,3144,510,913,🖤 $300 to someone who retweets this and follows @POODLETOKEN in 4 days 🖤 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi $POODL #POODL #HOODLTHEPOODL
1379947025740001292,2021-04-07 23:59:43,100,719,184,"Mornin!

Woke to $400+ #bnb

And $cake at $18+

Target = moon.

Also $bnb v $eth breakout only just started the next wave today. https://t.co/O0t5DDjsYb"
1379947022480990212,2021-04-07 23:59:42,1960,868,63,"🐸$100 to someone who retweets this and follows 
@frogefinance1 + @financefroge in 24 hours 🐸

$FROGE is the worlds first eco-token and is now being listed on WhiteBit! #sponsored

#BTC #Bitcoin #Ethereum #BNB #TRX #Ripple #XRP #SAFEMOON $HOGE"
1379947021772206083,2021-04-07 23:59:42,2495,697,34,🔥 $100 to someone who retweets this and follows @phoenixdefi in 24 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1379947012699738113,2021-04-07 23:59:40,3103,299,38,"Do Syrup Storm, Fearsome Flippers or Chaotic Cakers like Macarons @PancakeSwap? We still have some land for Cake LP farmers.

#BinanceSmartChain #BSC #BTC #ETH #Ethereum #BNB
#crypto #defi $MCRN https://t.co/s2XMqFexZs"
1379947008773918727,2021-04-07 23:59:39,5343,298,18,"🔥 Our PreSale is Live

Listing price 1 BNB ≈ 200 VRF
Pre sale 1 BNB  ≈ 800 VRF
Minimum buy 0.1 BNB
Maximum buy 100 BNB
Buy now : https://t.co/uP91xgB26A

Join Crowdsale, to Buy at 200% Discount from Listing price! 🚀 https://t.co/OyvOPADHS8"
1379946998938402820,2021-04-07 23:59:37,2495,1033,60,🔥 $100 to someone who retweets this and follows @phoenixdefi in 24 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1379946998388948997,2021-04-07 23:59:37,2495,745,25,🔥 $100 to someone who retweets this and follows @phoenixdefi in 24 hours 🔥 #giveaway #Bitcoin #Ethereum #BNB #TRX #money #Ripple #XRP #stellar #XLM #DeFi
1379946997570932739,2021-04-07 23:59:37,3103,1309,64,"Do Syrup Storm, Fearsome Flippers or Chaotic Cakers like Macarons @PancakeSwap? We still have some land for Cake LP farmers.

#BinanceSmartChain #BSC #BTC #ETH #Ethereum #BNB
#crypto #defi $MCRN https://t.co/s2XMqFexZs"
