Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1381396633225736201,2021-04-11 23:59:57,156,598,220,$XRP IS THE NEW WORLD RESERVE CURRENCY
1381396625055232000,2021-04-11 23:59:55,300,667,604,"""XRP will never reach $1""  ✅

""XRP will never reach $10"" ❎

""XRP will never reach $100"" ❎

""XRP will never reach $1000"" ❎

Haters gonna hate. Lets see who is going to win..."
1381396591731441676,2021-04-11 23:59:47,0,4837,2881,$XRP will eat $BNB
1381396581849554946,2021-04-11 23:59:44,6,817,939,2022 all of our wildest dreams will have come true ✨ $XRP #XRPtheStandard #RippleLawsuit https://t.co/DJXCr3sCD4
1381396574396383237,2021-04-11 23:59:43,0,103,26,"@XRP_OWL What’s the best exchange for US residents for alliance block, looking at CoinMarketCap not familiar with any of them"
1381396567710695428,2021-04-11 23:59:41,0,213,151,Wanchain Integrates XRP For Yield Farming https://t.co/PAY5u2nTI5
1381396562614489088,2021-04-11 23:59:40,8,113,50,Where are you taking your vacation when #XRP moons?
1381396539348819970,2021-04-11 23:59:34,0,450,392,@madave_lui XRP hodlers be like https://t.co/zlaCzjnawh
1381396534068133890,2021-04-11 23:59:33,0,56,22,Who’s @WWE going through to sell their #NFTs ?? #ETH #Bitcoin #XRP $uDoo
1381396529567645696,2021-04-11 23:59:32,0,65,150,"@davidgokhshtein I think I will most likely sell the relist pop. XRP moves on retail trading, not adaptation..."
1381396504334663685,2021-04-11 23:59:26,88,1062,923,People selling there $XRP here in the $1.30+ range are gonna sorely regret it
1381396487339266048,2021-04-11 23:59:22,828,221,82,RETWEET if you think #XRP will make you rich!
1381396468876066816,2021-04-11 23:59:17,0,12116,23523,@TheCryptoLark I think xrp will flip bnb
1381396468586606600,2021-04-11 23:59:17,828,51,15,RETWEET if you think #XRP will make you rich!
1381396465617109000,2021-04-11 23:59:17,1,1739,845,Mike Novogratz Says XRP Rally Indicates That Settlement Could Be Coming Soon https://t.co/Z5dU87yduu
1381396446239412224,2021-04-11 23:59:12,0,13,0,"It seems $toko wants to take out 300sat so badlythis beast has been consolidating for so long now it’s time to pump to Vahala. anything below $2 is cheap fud
$vra $sxp $aave $bnb $xrp $btc $htr $knc $hot $coti $mitx $ramp $nkn $inch $doge $xlm $ada $via $cake $link $vet $ltc $bnb"
