Tweet_ID,tweetcreatedts,retweetcount,following,followers,text
1378859925925986306,2021-04-04 23:59:58,1,139,40,@cryptoes_ $XRP Goooooooooooooo!!! 💥🚀🌙✨ https://t.co/QAQMEDWOUD
1378859921383505920,2021-04-04 23:59:57,0,41,3,@2020Xrp What must xrp hit to make u leave twitter? 1$?
1378859915398295557,2021-04-04 23:59:56,29,232,129,"Dear Lord I messed that up ...

$XRP strong close... .65 CENTS next then we tackle .70"
1378859894145748993,2021-04-04 23:59:51,34,1127,1092,"XRP: Slowly Back To Normal 

What the SEC did, in reality, is that it ‘punished’ XRP holders, not Ripple nor the people they accused in their allegations. XRP holders got a beating, a serious beating, and the disruption on the XRP chart is shown below.
https://t.co/sAlxoWOkb3"
1378859864991047681,2021-04-04 23:59:44,20,169,54,SALIVATING OVER THIS $XRP WEEKLY CHART https://t.co/BOpPgmxfzH
1378859837321326593,2021-04-04 23:59:37,102,15,44,#XRP All Time High is coming!
1378859830211870722,2021-04-04 23:59:36,28,169,54,$XRP looking like it’s about to 🚀🚀🚀
1378859819034161155,2021-04-04 23:59:33,38,103,13,In case the previous breakout wasn’t convincing enough... | LET’S GO!!!! #XRP https://t.co/G2vP1WYRLx
1378859808187682819,2021-04-04 23:59:30,0,240,174,@intocryptoverse And $xrp is absolutely smoking hot...
1378859787186708480,2021-04-04 23:59:25,56,169,54,"XRP $0.7022 on XRP/KRW Pair 

It’s feeling like 2017 with the fiat pair gaps"
1378859771265175554,2021-04-04 23:59:22,0,639,503,@2020Xrp XRP is on fire tonight 🚀🌝
1378859768052387840,2021-04-04 23:59:21,104,1127,1092,"""We are not only on the right side of the law, but we will be on the right side of history""- #RelistXRP #XRP ripple https://t.co/ijhRS4hFjX"
1378859750398566407,2021-04-04 23:59:17,8,6,1,#XRP about to have the highest weekly close since May 2018.
1378859718802833410,2021-04-04 23:59:09,627,15,44,RETWEET if you believe $XRP will reach $5 this year! 💪🏼
1378859707532738562,2021-04-04 23:59:06,3,998,44599,"When you buy a coin (Defi Wizard) at $4.30 on Thursday due to charts and fundamentals and it wicks to $25.00 on Sunday

BUT

You forgot to bring your laptop to your Mom's on Easter...........😅

I aped into it too 

I'm holding still a 6M market cap right now but would have sold"
1378859705829707776,2021-04-04 23:59:06,133,100,13,"Red resistance region cleared, backtested nicely on the daily, looks good to go. $XRP you are cleared for takeoff 🚀 https://t.co/kbMxCz7O9V https://t.co/FiClRUIkdp"
1378859699894841347,2021-04-04 23:59:05,0,58,11,@benlindsey0 @Dehunted @xrp_mami Do you really think that XRP will boom in the bear market? Learn the bullrun cycle. Don't be a fool.
1378859695583154177,2021-04-04 23:59:04,1,1968,714,@AndrewNation13 Yes I still love and hold my xrp lol
1378859693800452098,2021-04-04 23:59:03,164,875,209,April 6th is a big day for $XRP
1378859673659523080,2021-04-04 23:58:58,133,2394,623,"Red resistance region cleared, backtested nicely on the daily, looks good to go. $XRP you are cleared for takeoff 🚀 https://t.co/kbMxCz7O9V https://t.co/FiClRUIkdp"
1378859665547747329,2021-04-04 23:58:56,0,364,78,$xrp is going up again @YouTube please ban @AlexCobb_ for a few days 🤣😂
1378859661328220167,2021-04-04 23:58:55,0,45,5,@RookieXBT XRP will be $90 by 2025
1378859656819449856,2021-04-04 23:58:54,0,92,108,@vancity_doll @ainittomai Not as big as xrp. So it's a shit coin
